kda,most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,rank_lp
1.6/5.2/16.0,Support,Wins: 64 (72.4%),0.9,303.44,Yu Jimin#CN1,Master 130 LP
6.3/4.7/5.9,Top,Wins: 277 (55.0%),8.18,459.52,LOS SuperCleber#CBLol,Challenger 1258 LP
6.2/4.9/6.8,Top,Wins: 116 (61.1%),7.44,443.62,CRIA DE IPANEMA#PIT,Challenger 863 LP
5.3/5.2/5.8,Top,Wins: 208 (53.2%),7.08,421.0,This game canwin#2003,GrandMaster 432 LP
8.5/6.5/8.2,Jungler,Wins: 161 (56.8%),7.119999999999999,448.17999999999995,ZBOLINHA#BR11,Challenger 761 LP
6.2/4.6/7.6,Mid,Wins: 219 (55.0%),8.040000000000001,458.34,Grevthar#BRA1,Challenger 1121 LP
7.1/4.7/8.5,Mid,Wins: 104 (56.9%),7.08,438.64000000000004,nesh1#BR1,GrandMaster 385 LP
8.6/5.8/8.9,AD Carry,Wins: 124 (58.5%),5.9799999999999995,479.21999999999997,ganjang2dong#5104,Challenger 822 LP
9.6/8.0/7.6,AD Carry,Wins: 261 (56.0%),8.22,539.1,Brance#Branc,Challenger 1679 LP
1.8/4.8/13.5,Support,Wins: 95 (58.3%),1.18,294.36,Petekinho#1999,GrandMaster 564 LP
7.1/5.9/7.8,AD Carry,Wins: 134 (54.5%),7.24,465.88,anakin skywalker#BR2,GrandMaster 217 LP
5.5/6.2/5.3,Mid,Wins: 262 (52.8%),5.26,377.91999999999996,SALVA#1031,Challenger 813 LP
5.7/5.7/5.7,Top,Wins: 46 (69.7%),7.780000000000001,465.8,I will trade#NA1,GrandMaster 416 LP
6.5/5.7/8.4,Jungler,Wins: 80 (49.4%),5.639999999999999,401.59999999999997,blank#lost,Master 205 LP
6.4/4.0/7.0,AD Carry,Wins: 193 (56.6%),8.3,467.34,Cody Sun#Aura,Challenger 1276 LP
5.9/6.9/6.3,Mid,Wins: 101 (53.2%),6.4799999999999995,459.2,Kiritsugu#Haine,Master 279 LP
8.7/6.1/7.0,AD Carry,Wins: 97 (54.2%),7.140000000000001,458.8,wegonebeok#ISTG,GrandMaster 402 LP
5.5/4.4/8.6,AD Carry,Wins: 51 (56.7%),6.42,433.58000000000004,Lunar#VIPER,Master 159 LP
4.7/5.0/9.5,AD Carry,Wins: 24 (72.7%),7.08,420.21999999999997,blorva#000,Master 78 LP
6.9/4.5/9.2,AD Carry,Wins: 162 (57.4%),3.9200000000000004,379.78,Viggy#V1g,GrandMaster 531 LP
1.8/6.0/15.9,Support,Wins: 30 (66.7%),1.7,290.94000000000005,xaM#drone,Master 2 LP
9.0/4.4/6.3,AD Carry,Wins: 64 (72.4%),7.140000000000001,497.5400000000001,Kiqzend#9705,Master 130 LP
5.9/4.4/5.7,Top,Wins: 153 (54.1%),7.7,453.53999999999996,Dhokla#NA1,GrandMaster 567 LP
9.2/4.6/9.2,Jungler,Wins: 66 (71.0%),7.26,484.8,yukino cat#cat,Challenger 858 LP
7.2/3.2/6.7,Jungler,Wins: 70 (60.3%),6.82,431.91999999999996,리틀 카터#2048,GrandMaster 352 LP
8.2/5.6/6.6,AD Carry,Wins: 136 (57.6%),7.1,531.5800000000002,Minazuki#0909,Challenger 858 LP
7.1/6.2/5.8,AD Carry,Wins: 118 (55.4%),7.26,463.2,Yabyinda#lovie,GrandMaster 482 LP
6.6/4.4/6.4,AD Carry,Wins: 97 (56.4%),7.779999999999999,435.8,joyboy#adc,GrandMaster 425 LP
6.1/5.1/6.7,AD Carry,Wins: 250 (51.4%),6.8,420.32,TyChee#1437,GrandMaster 414 LP
1.6/5.2/16.0,Support,Wins: 64 (72.4%),0.9,303.44,Yu Jimin#CN1,Master 130 LP
2.0/5.0/14.7,Support,Wins: 100 (64.1%),1.1,291.48,JT is back#s15,Challenger 428 LP
6.2/4.9/6.8,Top,Wins: 116 (61.1%),7.44,443.62,CRIA DE IPANEMA#PIT,Challenger 863 LP
6.3/5.5/9.0,AD Carry,Wins: 230 (52.6%),8.239999999999998,489.91999999999996,Kojima#ゲツヨウビ,Challenger 858 LP
8.9/3.4/7.9,Jungler,Wins: 87 (58.0%),7.1,480.26000000000005,Dizin#CBlol,GrandMaster 410 LP
5.7/5.2/12.4,Jungler,Wins: 94 (67.6%),5.24,351.86,dont let me go#Veiga,GrandMaster 525 LP
6.2/4.6/7.6,Mid,Wins: 219 (55.0%),8.040000000000001,458.34,Grevthar#BRA1,Challenger 1121 LP
7.2/6.0/6.9,Jungler,Wins: 132 (55.2%),6.959999999999999,435.58000000000004,babyfaker01#BR2,GrandMaster 389 LP
6.3/4.8/8.2,AD Carry,Wins: 144 (56.9%),8.059999999999999,468.96000000000004,Charlie Hunnam#77777,Challenger 684 LP
6.8/5.4/6.6,AD Carry,Wins: 252 (52.5%),7.7,463.1,rhyy#123,Challenger 677 LP
2.0/5.2/15.7,Support,Wins: 69 (55.2%),3.4200000000000004,334.84,Kisuni#BR1,Master 99 LP
4.5/6.6/14.4,Support,Wins: 104 (60.5%),1.1400000000000001,337.6,SOODANG#kr3,Challenger 642 LP
4.7/4.6/5.6,Top,Wins: 160 (52.8%),6.56,389.14,Cylainius#NOXUS,GrandMaster 415 LP
3.8/5.0/8.7,Top,Wins: 131 (56.0%),3.7499999999999996,296.90000000000003,Paklaiton#NA1,Challenger 640 LP
8.9/5.6/8.2,Jungler,Wins: 137 (63.0%),8.88,527.8199999999999,eDATERSgg#6969,Challenger 773 LP
9.2/4.6/9.2,Jungler,Wins: 66 (71.0%),7.26,484.8,yukino cat#cat,Challenger 858 LP
6.3/4.6/7.4,Mid,Wins: 134 (52.8%),7.760000000000001,443.5,young#0000,GrandMaster 347 LP
7.2/6.2/8.6,Jungler,Wins: 181 (56.0%),6.180000000000001,434.7200000000001,UCI duong pro#NA1,Challenger 815 LP
