most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,division,rank,lp,games_won,kills,death,assists
Top,54.4,8.0,444.58,YOUSEEBIGGIRL123#BR1,GrandMaster,,271,149,6.1,6.0,7.0
Top,61.0,6.459999999999999,449.4200000000001,Tio Hero#BR1,Diamond,1.0,10,48,7.3,5.8,8.6
Jungler,52.1,5.960000000000001,447.3,Monster#NWA,GrandMaster,,455,295,8.7,6.0,8.6
Jungler,56.4,7.4,466.2600000000001,Yash#six66,Master,,148,57,9.1,6.8,8.0
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
Mid,55.3,7.959999999999999,457.9,potato the cat#envy,Challenger,,1491,268,6.8,4.8,7.9
AD Carry,54.6,6.68,452.88,God Fortune#GodF,GrandMaster,,269,89,6.9,6.3,7.9
AD Carry,55.8,7.359999999999999,449.92,Zale#1000,GrandMaster,,497,96,6.0,4.9,9.2
Support,53.6,2.72,335.24,Nunca1#BR1,Master,,97,75,2.9,5.6,14.7
Support,56.4,3.140000000000001,420.86,Kirico#BR1,Master,,257,97,1.8,4.9,16.8
Top,53.6,6.7,393.16,Proctor#MTG,GrandMaster,,453,173,4.4,4.3,6.5
Top,54.4,6.7,400.1,In Kchö we Trust#KCHO,GrandMaster,,102,98,5.5,5.6,6.0
Jungler,54.1,4.98,509.8200000000001,Paris in de rain#NA1,Master,,121,53,6.6,6.8,9.9
Jungler,51.5,6.6,427.08,HHHHHBTX#7524,Master,,184,192,5.8,5.8,9.1
Mid,52.8,7.760000000000001,443.5,young#0000,Challenger,,347,134,6.3,4.6,7.4
Mid,52.5,7.18,450.96,Scooter#NA3,GrandMaster,,280,116,6.2,5.3,7.4
AD Carry,60.5,6.340000000000001,415.88,Bauxntack#4319,Master,,472,133,3.9,4.7,8.3
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
Support,52.2,1.7399999999999998,287.6,kyledog128#NA1,GrandMaster,,228,233,1.8,5.7,13.2
Support,60.0,1.08,321.88,Janna car#NA1,Master,,102,36,1.9,3.5,14.1
Top,54.9,7.640000000000001,436.2600000000001,Haxorr TTV#HAXOR,Challenger,,749,208,5.4,4.5,4.6
Mid,54.7,7.9,458.2,Pobelter#NA1,Challenger,,925,189,6.2,4.6,6.6
Jungler,55.7,6.180000000000001,434.88,UCI duong pro#NA1,Challenger,,776,181,7.2,6.2,8.6
Jungler,58.1,7.3,475.1,不帮就送#0888,Challenger,,707,122,7.8,4.6,6.6
AD Carry,59.4,8.04,475.3,Spawn#NA3,Challenger,,855,114,6.7,4.4,7.7
AD Carry,58.4,8.379999999999999,470.84,pug1#NA1,Challenger,,1004,142,6.5,4.9,6.4
AD Carry,55.5,7.5,438.88,Daption#Sandy,Challenger,,1037,208,6.2,5.0,8.3
AD Carry,53.2,7.6,448.08,GrayFawx#NA2,Challenger,,491,166,6.0,4.9,7.3
AD Carry,58.0,5.44,403.82,Kurfyou#NA3,Challenger,,1247,174,4.8,4.3,10.9
Support,60.4,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1210,145,3.0,5.3,13.4
Top,60.7,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,824,116,6.2,4.9,6.8
Top,51.4,7.4,447.3,Lucca#DRAW,GrandMaster,,525,215,6.6,6.5,4.8
Jungler,53.5,6.220000000000001,448.56000000000006,paiN Tatu#10y,Challenger,,1454,328,8.5,5.7,9.1
Jungler,68.9,5.86,481.7,undebal 11#maluk,GrandMaster,,436,62,6.2,3.6,11.0
Mid,57.3,6.08,442.2600000000001,iMaaasTeR#BR1,GrandMaster,,585,135,5.8,5.1,6.2
Jungler,63.2,6.539999999999999,452.3,soloq player#noob,Challenger,,1533,129,7.1,4.3,9.7
AD Carry,60.4,7.279999999999999,435.36,Alanzinhö#BR1,GrandMaster,,553,94,6.1,5.6,7.3
AD Carry,55.9,7.82,473.64,amatsusune#bipi,Challenger,,781,160,7.6,5.5,7.6
AD Carry,60.6,7.88,462.4,Kami#BR1,Challenger,,872,117,5.7,4.3,8.0
Support,57.8,0.98,301.40000000000003,zay#zzz1,Challenger,,989,118,3.3,5.3,13.5
Top,54.1,7.7,453.54,Dhokla#NA1,Challenger,,567,153,5.9,4.4,5.7
Top,52.6,6.98,444.48,juicylips#NA1,GrandMaster,,114,102,4.4,4.4,4.4
Jungler,59.0,7.2,495.2,kano#chama,GrandMaster,,333,130,8.8,5.0,7.5
Jungler,77.9,7.233333333333334,445.86666666666673,任星远#sky,Master,,578,60,10.0,5.0,7.5
AD Carry,51.6,6.380000000000001,436.9599999999999,Solomon#NA0,GrandMaster,,317,97,7.7,5.1,5.9
Mid,59.6,7.56,513.4,spme#quin,GrandMaster,,437,81,6.5,5.0,6.8
AD Carry,55.8,6.5600000000000005,426.18,xDwill#554,Master,,309,115,5.8,5.3,7.4
AD Carry,54.8,7.26,449.2200000000001,후 잉#클로버,Challenger,,631,199,6.6,6.2,7.5
Support,50.7,2.58,448.4200000000001,Kodeki#みぞかみ,Challenger,,439,281,2.1,5.3,13.1
Support,52.8,2.02,301.93999999999994,Harimata#NA1,GrandMaster,,372,163,2.0,5.0,13.3
Top,50.5,7.040000000000001,433.6,Blast#4YOU,GrandMaster,,309,209,6.7,5.9,6.0
Top,55.5,7.880000000000001,467.38,hero kenzan#KR2,Challenger,,1023,213,6.1,4.4,6.3
Jungler,58.2,6.859999999999999,442.94,overthinker#ress,Challenger,,1133,149,7.4,4.9,7.9
Jungler,63.4,5.860000000000001,444.34,Sací Perêrê#BR1,Challenger,,811,91,8.6,5.0,8.6
Mid,55.3,7.959999999999999,457.9,potato the cat#envy,Challenger,,1491,268,6.8,4.8,7.9
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
AD Carry,55.6,7.24,436.94,Normailpro#BR1,GrandMaster,,405,119,5.3,4.6,9.3
AD Carry,52.6,8.239999999999998,489.92,Kojima#ゲツヨウビ,Challenger,,858,230,6.3,5.5,9.0
Support,62.5,1.98,372.1,frosty#KR3,Challenger,,1402,125,4.5,5.5,14.8
Support,57.7,0.96,314.48,Damage#001,Challenger,,732,120,3.1,5.7,14.3
Top,57.8,6.6,527.9799999999999,WanWanovo#Fiora,Challenger,,917,219,5.9,4.5,5.4
Top,60.1,7.06,462.4999999999999,Yunus#6041,GrandMaster,,528,83,5.3,4.2,7.0
Jungler,54.1,7.1,454.92,Karasmai Kayn#NA1,GrandMaster,,218,99,7.0,4.5,6.8
Jungler,69.7,7.42,504.4,Sheiden3#NA1,Challenger,,1321,101,10.6,4.4,6.6
Mid,52.8,5.26,377.92,SALVA#1031,Challenger,,813,262,5.5,6.2,5.3
Mid,54.2,6.48,537.1,火 影#2Szd,GrandMaster,,351,84,7.6,5.0,6.2
Mid,55.5,7.9,432.84,Sym#Sym,GrandMaster,,390,133,5.4,4.3,5.6
Support,74.2,1.2600000000000002,322.7,StrictlyBusiness#SB1,Master,,216,69,3.2,3.5,14.1
Support,55.3,2.28,343.32000000000005,Z Score#1500,GrandMaster,,547,119,2.9,4.6,13.3
AD Carry,53.8,4.86,395.98,Braxy#NA1,GrandMaster,,462,172,4.9,4.8,9.0
Mid,54.7,7.9,458.2,Pobelter#NA1,Challenger,,925,189,6.2,4.6,6.6
Top,59.2,7.76,479.1,Phymini#GOAT,GrandMaster,,501,84,6.5,5.7,5.3
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
Jungler,58.1,6.24,385.86,Pentaless#NA1,Challenger,,1225,179,4.6,3.8,11.6
Mid,54.9,7.0200000000000005,460.5400000000001,Ado#celly,GrandMaster,,289,73,6.1,5.1,7.3
AD Carry,63.1,8.12,459.7799999999999,波士顿第一深情#1117,Challenger,,754,99,6.6,4.5,8.0
AD Carry,58.1,5.44,403.98,Kurfyou#NA3,Challenger,,1268,175,4.8,4.3,10.9
AD Carry,55.5,7.5,438.88,Daption#Sandy,Challenger,,1037,208,6.2,5.0,8.3
Support,56.5,0.9600000000000002,297.06,tingting dad#NA1,GrandMaster,,257,118,1.4,3.7,15.1
Support,60.2,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1191,145,3.0,5.3,13.4
Top,60.7,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,844,116,6.2,4.9,6.8
Mid,56.7,6.68,470.9200000000001,Antithesis#1706,GrandMaster,,649,127,6.9,5.7,7.0
Jungler,56.6,5.0200000000000005,570.1800000000001,Axel#Tio,Challenger,,296,81,8.4,6.9,6.4
Jungler,68.9,5.86,481.7,undebal 11#maluk,GrandMaster,,436,62,6.2,3.6,11.0
AD Carry,60.6,7.88,462.4,Kami#BR1,Challenger,,872,117,5.7,4.3,8.0
Mid,58.2,7.92,475.4599999999999,neyzz#999,Challenger,,810,135,6.8,5.3,6.9
AD Carry,60.4,7.279999999999999,435.36,Alanzinhö#BR1,GrandMaster,,553,94,6.1,5.6,7.3
AD Carry,55.9,7.82,473.64,amatsusune#bipi,Challenger,,781,160,7.6,5.5,7.6
Support,57.8,0.98,301.40000000000003,zay#zzz1,Challenger,,989,118,3.3,5.3,13.5
Support,54.2,0.9,309.98,NEVERENOUGH777#DIYI,Challenger,,893,208,3.4,6.0,14.8
Top,54.1,7.7,453.54,Dhokla#NA1,Challenger,,567,153,5.9,4.4,5.7
Top,59.1,7.159999999999999,440.88,Dragoonsmash#NA1,GrandMaster,,441,94,5.6,5.7,5.3
Jungler,77.9,7.233333333333334,445.86666666666673,任星远#sky,Master,,578,60,10.0,5.0,7.5
Jungler,59.3,7.139999999999999,474.3,Dino Nugget#Eris,GrandMaster,,509,105,7.5,4.8,8.3
Mid,72.0,6.760000000000001,456.72,mars rank 1#NA1,GrandMaster,,522,67,8.4,4.4,7.8
Mid,57.8,7.720000000000001,438.0200000000001,Doctor Doom#Max,GrandMaster,,424,100,6.9,3.8,4.9
AD Carry,56.1,7.56,530.22,Hurricane#1,GrandMaster,,304,83,7.0,5.7,6.3
AD Carry,57.5,7.76,438.18,pewpew#pigmé,Challenger,,606,132,5.9,5.6,8.8
Jungler,55.7,6.180000000000001,434.88,UCI duong pro#NA1,Challenger,,776,181,7.2,6.2,8.6
Support,55.6,1.12,302.92,3uphoria#0622,Challenger,,608,138,2.1,4.6,13.8
Top,53.6,7.540000000000001,459.78,Ego#1048,GrandMaster,,456,156,5.8,4.8,5.7
Mid,53.3,6.48,406.28,Koala#Euca,GrandMaster,,522,200,4.6,5.0,8.4
Jungler,53.0,6.7,422.68,alchemist#still,Challenger,,691,261,5.8,4.1,8.2
Jungler,54.1,6.660000000000001,439.92,Will#NA12,Challenger,,869,203,7.3,3.3,8.1
Mid,55.1,7.360000000000001,439.12000000000006,Ariendel#NA1,Challenger,,804,172,6.3,4.6,8.4
Top,54.3,6.5,416.18,Tom Joad#WRATH,Master,,245,172,6.0,5.9,5.2
AD Carry,55.4,7.26,463.2,Yabyinda#lovie,GrandMaster,,482,118,7.1,6.2,5.8
AD Carry,57.5,8.92,475.4799999999999,Doublelift#NA1,Challenger,,1116,145,6.6,4.2,6.6
Support,61.3,1.08,315.05999999999995,Breezyyy#NA1,Challenger,,938,119,1.9,4.6,13.1
Support,52.8,2.02,301.93999999999994,Harimata#NA1,GrandMaster,,372,163,2.0,5.0,13.3
Mid,59.7,5.92,429.5,HITSUWHATWASTHAT#BR1,Challenger,,896,123,6.3,4.5,7.7
Top,61.6,5.32,701.88,DU GYM RAT#GYM,Challenger,,1013,106,6.4,4.1,8.9
Mid,57.3,8.059999999999999,477.36,Fuuu#99999,Challenger,,1049,164,7.1,4.0,6.9
Jungler,63.4,5.860000000000001,444.34,Sací Perêrê#BR1,Challenger,,811,91,8.6,5.0,8.6
Mid,53.9,8.02,455.0400000000001,Enga#PUNGA,Challenger,,1239,262,6.7,4.8,7.5
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
AD Carry,56.7,7.42,494.7999999999999,Quinn#tatas,Challenger,,898,193,9.1,7.3,6.6
AD Carry,64.8,5.58,642.0200000000001,Zeus#axes,GrandMaster,,334,70,10.6,7.3,6.2
AD Carry,55.3,7.06,451.96,s l s#kr3,GrandMaster,,388,135,7.6,6.0,7.4
Mid,58.6,7.7,458.0,Qats#BR2,Challenger,,931,136,7.2,4.9,7.1
Top,55.3,6.48,410.38,Rare#NA0,Challenger,,581,130,4.8,5.8,6.9
Top,59.2,7.76,479.1,Phymini#GOAT,GrandMaster,,501,84,6.5,5.7,5.3
Jungler,73.4,7.1,465.14,blaberfish2#NA1,Challenger,,1081,80,8.1,4.7,9.6
Jungler,58.1,6.24,385.86,Pentaless#NA1,Challenger,,1201,178,4.6,3.8,11.6
Mid,54.7,7.9,458.2,Pobelter#NA1,Challenger,,925,189,6.2,4.6,6.6
Mid,55.9,8.219999999999999,444.78,Mini Mouse#Phy,GrandMaster,,309,76,6.2,5.0,5.3
AD Carry,55.5,7.5,438.88,Daption#Sandy,Challenger,,1037,208,6.2,5.0,8.3
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
Support,58.3,4.52,375.72,Bardbaric#NA1,GrandMaster,,539,123,3.1,6.6,12.3
AD Carry,58.1,5.44,403.98,Kurfyou#NA3,Challenger,,1247,174,4.8,4.3,10.9
Top,59.1,7.159999999999999,440.88,Dragoonsmash#NA1,GrandMaster,,441,94,5.6,5.7,5.3
Top,56.2,7.3,438.08,SOLOKILL#PVP,GrandMaster,,277,109,5.9,4.8,6.3
Jungler,58.1,7.3,475.1,不帮就送#0888,Challenger,,707,122,7.8,4.6,6.6
Jungler,69.7,7.42,504.4,Sheiden3#NA1,Challenger,,1321,101,10.6,4.4,6.6
AD Carry,59.6,6.16,396.2600000000001,RKYI2mOXKrXEXQVo#NA1,GrandMaster,,421,137,7.8,5.8,6.6
Mid,56.3,6.5,443.52,AlphaWolffy#NA1,Challenger,,719,143,5.3,5.2,9.0
AD Carry,56.0,6.58,459.18,qad#NA1,GrandMaster,,358,107,6.2,5.6,9.1
AD Carry,54.2,6.82,455.32,Fatihcan#1515,Challenger,,642,160,6.4,8.2,10.0
Support,60.2,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1210,145,3.0,5.3,13.4
Support,75.9,1.0,314.2,HAHHAHAHAHAHXDDD#Reina,Master,,214,41,2.1,2.8,15.9
Top,56.0,3.75,296.90000000000003,Paklaiton#NA1,Challenger,,640,131,3.8,5.0,8.7
Mid,59.6,7.56,513.4,spme#quin,GrandMaster,,437,81,6.5,5.0,6.8
Jungler,74.0,6.68,439.2600000000001,ttv nyx1v9#nyx,Challenger,,876,111,11.7,3.9,8.4
Jungler,58.1,6.82,461.62,chocolate rain#LFG,Challenger,,811,143,6.6,4.2,8.4
Mid,57.8,6.6,403.34,ck286#pris,Challenger,,636,108,6.2,4.5,6.8
Mid,55.2,7.24,439.80000000000007,Komari#TTV,Challenger,,941,186,6.4,6.4,6.9
AD Carry,57.5,8.92,475.4799999999999,Doublelift#NA1,Challenger,,1116,145,6.6,4.2,6.6
AD Carry,53.8,7.38,490.46,melke#0001,Challenger,,794,211,7.3,5.6,7.0
Support,55.9,2.68,332.1,LightNReset#NA1,Challenger,,860,185,3.9,5.5,12.5
Support,55.5,0.92,290.62,VULCAN#5125,Challenger,,1269,201,2.6,4.2,13.9
Top,60.7,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,824,116,6.2,4.9,6.8
Top,58.7,7.56,437.82,hen to pan#2005,GrandMaster,,474,128,6.2,4.6,5.7
Jungler,68.6,6.139999999999999,455.14,chovyness#bilu,GrandMaster,,505,72,8.8,5.6,8.0
Jungler,53.5,6.220000000000001,448.56000000000006,paiN Tatu#10y,Challenger,,1454,328,8.5,5.7,9.1
Mid,52.2,6.88,400.3,Tyler Durden#Lewis,GrandMaster,,147,144,5.6,5.2,5.9
Mid,63.2,4.8,536.74,theploze#6872,GrandMaster,,415,67,6.2,5.3,6.2
AD Carry,52.7,8.239999999999998,489.92,Kojima#ゲツヨウビ,Challenger,,858,230,6.3,5.5,9.0
AD Carry,56.4,7.9,452.4,ll Escanor ll#BR1,GrandMaster,,295,92,6.5,4.5,6.8
Support,57.2,2.1,334.44000000000005,SUPKING#KR01,GrandMaster,,576,126,3.3,5.4,14.4
Support,62.2,1.1599999999999997,300.32000000000005,Thyago#BR2,GrandMaster,,349,73,2.3,5.6,14.9
Top,50.8,6.08,380.6,ueP#ueP,Diamond,3.0,92,64,4.6,5.7,7.6
Jungler,51.2,6.36,459.34,PNG ShadowRazeR#SHD15,Diamond,2.0,59,45,7.6,5.1,7.0
Jungler,49.7,6.840000000000001,436.8,Minerva#BR1,Diamond,1.0,29,78,6.9,6.2,9.5
Jungler,61.0,5.66,402.02,Lira#BR2,Diamond,1.0,61,61,9.1,5.8,8.1
Mid,52.2,6.859999999999999,437.9599999999999,Jpguima#lySo,Diamond,1.0,6,72,6.4,6.1,6.8
Mid,53.7,6.760000000000001,433.34,Xunga#Dunga,Master,,92,66,6.8,5.6,7.3
Top,50.9,6.760000000000001,431.62,chiBRAS#BR1,Diamond,1.0,29,86,6.5,5.9,6.0
,,,,RATOLOL#RAGE,Master,,N/A,,,,
Support,54.9,3.68,402.34,Iwaze#LLL,Diamond,2.0,90,140,4.6,6.2,11.1
Support,50.3,1.42,303.72,SEBO NA GLAND#GAMER,Master,,86,181,1.8,4.9,13.6
Top,55.3,6.48,410.38,Rare#NA0,Challenger,,581,130,4.8,5.8,6.9
Top,60.1,7.06,462.4999999999999,Yunus#6041,GrandMaster,,528,83,5.3,4.2,7.0
Jungler,54.4,4.48,683.86,SHEEP123#SWAG,GrandMaster,,550,173,4.8,4.8,11.9
Jungler,58.1,6.24,385.86,Pentaless#NA1,Challenger,,1225,179,4.6,3.8,11.6
Mid,54.7,7.9,458.2,Pobelter#NA1,Challenger,,925,189,6.2,4.6,6.6
Jungler,55.6,7.6,455.25999999999993,†#NA1,Master,,0,56,6.8,4.9,7.5
AD Carry,56.1,7.56,530.22,Hurricane#1,GrandMaster,,304,83,7.0,5.7,6.3
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
AD Carry,53.8,4.86,395.98,Braxy#NA1,GrandMaster,,462,172,4.9,4.8,9.0
Support,59.6,1.14,292.9,grandleviathan#mott,GrandMaster,,289,59,1.9,4.6,13.8
Jungler,56.9,7.0,479.3,花有重开日人无在少年#0525,Challenger,,603,165,6.9,6.0,9.3
Top,57.6,7.38,435.3,Horder#Chris,Challenger,,562,98,5.5,4.8,5.7
Jungler,73.4,7.1,465.14,blaberfish2#NA1,Challenger,,1081,80,8.1,4.7,9.6
Jungler,54.1,7.1,454.92,Karasmai Kayn#NA1,GrandMaster,,218,99,7.0,4.5,6.8
Mid,53.6,5.699999999999999,515.96,Reveall#7469,Challenger,,620,183,6.2,6.0,7.0
Mid,52.8,7.760000000000001,443.5,young#0000,Challenger,,347,134,6.3,4.6,7.4
AD Carry,51.4,6.8,420.32,TyChee#1437,GrandMaster,,414,250,6.1,5.1,6.7
AD Carry,58.1,5.44,403.98,Kurfyou#NA3,Challenger,,1268,175,4.8,4.3,10.9
Support,55.2,1.16,307.62,Shiku#2004,Challenger,,613,144,2.3,4.5,13.6
Support,52.8,2.02,301.93999999999994,Harimata#NA1,GrandMaster,,372,163,2.0,5.0,13.3
AD Carry,61.2,4.74,603.92,last goodbye#ttyl,GrandMaster,,411,74,10.3,4.3,4.7
Top,56.0,3.75,296.90000000000003,Paklaiton#NA1,Challenger,,640,131,3.8,5.0,8.7
Jungler,69.7,7.42,504.4,Sheiden3#NA1,Challenger,,1321,101,10.6,4.4,6.6
Jungler,62.8,5.38,399.86,Consume Adapt#NA1,GrandMaster,,334,59,6.9,3.8,8.9
AD Carry,54.1,7.140000000000001,525.2,catennator#owo,GrandMaster,,372,85,6.2,5.2,6.8
AD Carry,53.8,7.38,490.46,melke#0001,Challenger,,794,211,7.3,5.6,7.0
AD Carry,57.5,8.92,475.4799999999999,Doublelift#NA1,Challenger,,1116,145,6.6,4.2,6.6
AD Carry,57.4,7.5,470.0799999999999,Seishiro Nagi#2002,Challenger,,405,143,7.5,6.0,7.5
Support,55.3,2.28,343.32000000000005,Z Score#1500,GrandMaster,,547,119,2.9,4.6,13.3
Support,60.2,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1191,145,3.0,5.3,13.4
Top,50.8,6.08,380.6,ueP#ueP,Diamond,3.0,92,64,4.6,5.7,7.6
Top,49.5,6.739999999999999,401.34,Faake#Faake,Diamond,1.0,44,152,5.7,5.3,5.0
Jungler,49.7,6.840000000000001,436.8,Minerva#BR1,Diamond,1.0,29,78,6.9,6.2,9.5
Jungler,50.6,5.38,429.68,none#yin,Diamond,1.0,68,85,7.7,5.9,7.6
Mid,51.8,6.859999999999999,437.9599999999999,Jpguima#lySo,Diamond,1.0,0,72,6.3,6.1,6.8
AD Carry,51.1,5.6,409.8,Tixa#MG1,Master,,51,48,3.9,6.2,8.8
AD Carry,53.4,6.5200000000000005,448.08,Viciun#jpp,Master,,79,95,6.5,5.7,8.7
,,,,RATOLOL#RAGE,Master,,N/A,,,,
Support,54.5,1.16,311.38,Ayase#MGL,Diamond,1.0,65,68,2.8,5.3,14.8
Support,54.9,3.68,402.34,Iwaze#LLL,Diamond,2.0,90,140,4.6,6.2,11.1
Top,60.7,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,824,116,6.2,4.9,6.8
Top,55.0,8.18,459.52,LOS SuperCleber#CBLol,Challenger,,1258,277,6.3,4.7,5.9
Jungler,53.4,6.82,448.28,HUANXIAOLONGBAO#CHINA,GrandMaster,,198,118,8.7,5.0,8.6
Jungler,53.5,6.220000000000001,448.56000000000006,paiN Tatu#10y,Challenger,,1454,328,8.5,5.7,9.1
Mid,58.1,7.040000000000001,464.36,Aithusa#lol,Challenger,,1576,229,8.3,5.7,8.1
Mid,58.6,7.7,458.0,Qats#BR2,Challenger,,931,136,7.2,4.9,7.1
AD Carry,56.2,8.22,538.9599999999999,Brance#Branc,Challenger,,1720,263,9.6,8.0,7.6
AD Carry,72.9,6.92,572.4200000000001,Breaking the#habit,Master,,276,35,11.1,5.4,7.9
Support,57.2,2.1,334.44000000000005,SUPKING#KR01,GrandMaster,,597,127,3.3,5.4,14.4
Support,62.5,1.98,372.1,frosty#KR3,Challenger,,1402,125,4.5,5.5,14.8
Top,48.5,6.840000000000001,407.0,mamuscara#mamas,Diamond,2.0,30,161,4.5,5.9,5.4
Top,57.1,7.220000000000001,480.38,Ieonardin#BR1,Diamond,1.0,24,61,7.4,5.8,5.3
Jungler,49.7,6.840000000000001,436.8,Minerva#BR1,Diamond,1.0,29,78,6.9,6.2,9.5
AD Carry,55.2,6.44,573.98,Balta#BR01,Master,,79,16,8.8,7.8,7.1
Mid,52.6,6.3,402.18,Aerys#BR1,Diamond,2.0,27,112,5.4,5.7,7.2
Mid,73.3,7.5,501.34,Ruas#P2D,Diamond,3.0,16,11,6.5,5.3,7.4
Top,50.0,4.74,394.8,Cannón#BR1,Diamond,3.0,60,69,5.0,5.4,7.4
AD Carry,60.6,7.459999999999999,425.04,Silva o miôzin 2#BR1,Diamond,1.0,0,106,6.9,4.3,6.9
,,,,Faísca amassada#BR1,Diamond,3.0,N/A,,,,
Jungler,51.7,6.08,416.2,niko#kiene,Master,,0,62,5.3,6.0,8.1
Top,55.1,7.260000000000001,416.28,chickenmaxxer1#bean,Challenger,,1012,200,6.6,4.0,4.8
Top,59.4,7.260000000000001,461.1,Maguyusi#NA1,Challenger,,581,85,6.4,5.5,6.1
Jungler,73.4,7.1,465.14,blaberfish2#NA1,Challenger,,1081,80,8.1,4.7,9.6
Jungler,52.2,7.32,444.04,Maxander#NA1,Challenger,,560,176,6.7,3.8,7.1
Mid,58.6,8.260000000000002,476.68,WorldConquer#天下無双,GrandMaster,,601,102,6.3,4.3,5.6
Mid,55.0,8.3,483.08,KatEvolved#666,Challenger,,898,188,6.5,4.7,6.2
AD Carry,57.4,7.5,470.0799999999999,Seishiro Nagi#2002,Challenger,,425,144,7.5,6.0,7.5
AD Carry,57.5,8.92,475.4799999999999,Doublelift#NA1,Challenger,,1116,145,6.6,4.2,6.6
Jungler,55.7,6.180000000000001,434.88,UCI duong pro#NA1,Challenger,,776,181,7.2,6.2,8.6
AD Carry,57.7,7.860000000000001,444.4,Bazz#99999,Challenger,,440,90,5.7,4.0,7.9
AD Carry,58.2,7.76,513.24,ADumper#支配에스,Master,,302,106,7.2,4.9,8.3
Jungler,52.6,7.18,444.36,Darshan#55555,GrandMaster,,267,161,7.4,6.2,7.7
Jungler,53.6,4.7,416.16,莓烦恼#886,Master,,156,127,8.5,5.6,5.9
Jungler,58.8,6.76,447.86,小 叮#0619,GrandMaster,,244,60,7.6,4.9,7.7
Mid,51.2,6.44,427.64,ICahriYou#2272,Master,,121,260,5.6,4.8,7.1
Mid,52.5,6.220000000000001,405.76,Senator Kova#NA1,GrandMaster,,345,159,5.3,6.0,7.2
AD Carry,49.7,7.58,448.44,圣诞结#123,Master,,26,244,7.0,4.8,6.5
AD Carry,48.3,7.42,447.4,petit squid#ink,Master,,34,100,7.2,6.4,7.4
Support,57.5,1.2599999999999998,318.32,Biofrost#23974,GrandMaster,,492,123,3.1,5.3,13.1
Support,50.2,0.94,282.18,Akane Lize#seol,Master,,52,117,2.3,5.9,13.8
Top,56.0,3.75,296.90000000000003,Paklaiton#NA1,Challenger,,640,131,3.8,5.0,8.7
Top,57.8,6.6,527.9799999999999,WanWanovo#Fiora,Challenger,,917,219,5.9,4.5,5.4
Jungler,69.7,7.42,504.4,Sheiden3#NA1,Challenger,,1321,101,10.6,4.4,6.6
Jungler,58.1,7.3,475.1,不帮就送#0888,Challenger,,707,122,7.8,4.6,6.6
Mid,54.6,8.14,457.36,AoJune#3354,Challenger,,668,171,6.0,4.8,6.8
Mid,57.8,6.6,403.34,ck286#pris,Challenger,,636,108,6.2,4.5,6.8
AD Carry,57.0,8.34,476.2,Levitate#1v9,Challenger,,850,158,7.2,5.1,7.2
AD Carry,55.0,6.2,408.72,Infernodan#Tyler,Challenger,,603,111,5.7,5.0,7.6
Support,55.6,0.96,304.22,Afflictive#藍月なくる,Challenger,,582,134,2.0,3.8,13.7
Support,60.2,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1191,145,3.0,5.3,13.4
Top,58.1,6.74,430.84,duduelista#duel,Challenger,,864,136,6.3,6.4,4.8
Top,60.7,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,824,116,6.2,4.9,6.8
Jungler,77.9,7.140000000000001,492.38,Disamis#BR10,GrandMaster,,599,67,9.5,3.0,9.2
,,,,sparck#gado,Challenger,,N/A,,,,
Mid,58.1,7.040000000000001,464.36,Aithusa#lol,Challenger,,1576,229,8.3,5.7,8.1
Mid,52.8,6.1,426.52,give love u#put0,Challenger,,760,252,6.5,5.8,7.3
Support,62.5,1.98,372.1,frosty#KR3,Challenger,,1402,125,4.5,5.5,14.8
AD Carry,56.2,8.22,538.9599999999999,Brance#Branc,Challenger,,1720,263,9.6,8.0,7.6
Support,54.7,1.2600000000000002,311.82000000000005,Atrasia#BR1,GrandMaster,,460,170,4.7,4.2,12.2
Support,54.1,4.58,426.38,Changli#Kat,GrandMaster,,546,173,4.3,6.1,12.5
Mid,53.9,6.2,407.68,Daiki Aomine#RKR,Challenger,,1072,264,5.3,5.4,6.5
Top,55.9,6.640000000000001,389.62,31536000#ZIZON,GrandMaster,,675,138,4.1,4.2,6.4
