most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,division,rank,lp,games_won,kills,death,assists
Jungler,59.8,7.159999999999999,474.74000000000007,Dino Nugget#Eris,GrandMaster,,522,104,7.5,4.8,8.3
Jungler,55.8,7.12,460.06000000000006,Sheiden#0001,Challenger,,1018,188,8.8,4.5,6.5
AD Carry,53.8,7.38,490.46,melke#0001,Challenger,,794,211,7.3,5.6,7.0
AD Carry,56.6,7.859999999999999,455.8,Yang#adc1,GrandMaster,,495,111,7.3,4.7,5.9
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
AD Carry,56.0,6.58,459.18,qad#NA1,GrandMaster,,358,107,6.2,5.6,9.1
Support,55.2,3.9,368.96,桃汁泡泡#eri,Challenger,,704,198,3.3,3.3,11.9
Jungler,63.0,8.88,527.8199999999999,eDATERSgg#6969,Challenger,,773,137,8.9,5.6,8.2
Top,57.5,7.280000000000001,425.22,S1Vayne#NA1,Master,,57,61,8.9,6.3,4.2
Top,54.1,7.7,453.54,Dhokla#NA1,GrandMaster,,567,153,5.9,4.4,5.7
Jungler,57.1,6.28,450.4999999999999,Bio#023,Master,,80,48,7.5,5.5,8.9
AD Carry,55.0,6.92,447.4,Sandra Kubicka#NA1,Master,,233,210,9.9,7.2,4.7
Mid,64.0,7.3199999999999985,456.1,我会等待我会思考#WHITE,Master,,82,48,7.1,5.7,7.8
Mid,55.6,7.26,407.06000000000006,Hlde On Bush#KRR,GrandMaster,,414,120,5.2,4.3,6.0
AD Carry,56.4,7.779999999999999,435.8,joyboy#adc,GrandMaster,,425,97,6.6,4.4,6.4
AD Carry,72.4,7.140000000000001,497.5400000000001,Kiqzend#9705,Master,,130,64,9.0,4.4,6.3
Support,64.1,1.1,291.48,JT is back#s15,Challenger,,428,100,2.0,5.0,14.7
Support,72.4,0.9,303.44,Yu Jimin#CN1,Master,,130,64,1.6,5.2,16.0
Top,55.0,8.18,459.52,LOS SuperCleber#CBLol,Challenger,,1258,277,6.3,4.7,5.9
Top,61.1,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,863,116,6.2,4.9,6.8
Top,53.2,7.08,421.0,This game canwin#2003,GrandMaster,,432,208,5.3,5.2,5.8
Jungler,56.8,7.119999999999999,448.18,ZBOLINHA#BR11,Challenger,,761,161,8.5,6.5,8.2
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
Mid,56.9,7.08,438.64,nesh1#BR1,GrandMaster,,385,104,7.1,4.7,8.5
AD Carry,58.5,5.98,479.22,ganjang2dong#5104,Challenger,,822,124,8.6,5.8,8.9
AD Carry,56.0,8.22,539.1,Brance#Branc,Challenger,,1679,261,9.6,8.0,7.6
Support,58.3,1.18,294.36,Petekinho#1999,GrandMaster,,564,95,1.8,4.8,13.5
AD Carry,54.5,7.24,465.88,anakin skywalker#BR2,GrandMaster,,217,134,7.1,5.9,7.8
Mid,52.8,5.26,377.92,SALVA#1031,Challenger,,813,262,5.5,6.2,5.3
Top,69.7,7.780000000000001,465.8,I will trade#NA1,GrandMaster,,416,46,5.7,5.7,5.7
Jungler,49.4,5.639999999999999,401.6,blank#lost,Master,,205,80,6.5,5.7,8.4
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
Mid,53.2,6.48,459.2,Kiritsugu#Haine,Master,,279,101,5.9,6.9,6.3
AD Carry,54.2,7.140000000000001,458.8,wegonebeok#ISTG,GrandMaster,,402,97,8.7,6.1,7.0
AD Carry,56.7,6.42,433.58,Lunar#VIPER,Master,,159,51,5.5,4.4,8.6
AD Carry,72.7,7.08,420.22,blorva#000,Master,,78,24,4.7,5.0,9.5
AD Carry,57.4,3.92,379.78,Viggy#V1g,GrandMaster,,531,162,6.9,4.5,9.2
Support,66.7,1.7,290.94000000000005,xaM#drone,Master,,2,30,1.8,6.0,15.9
AD Carry,72.4,7.140000000000001,497.5400000000001,Kiqzend#9705,Master,,130,64,9.0,4.4,6.3
Top,54.1,7.7,453.54,Dhokla#NA1,GrandMaster,,567,153,5.9,4.4,5.7
Jungler,71.0,7.26,484.8,yukino cat#cat,Challenger,,858,66,9.2,4.6,9.2
Jungler,60.3,6.82,431.92,리틀 카터#2048,GrandMaster,,352,70,7.2,3.2,6.7
AD Carry,57.6,7.1,531.5800000000002,Minazuki#0909,Challenger,,858,136,8.2,5.6,6.6
AD Carry,55.4,7.26,463.2,Yabyinda#lovie,GrandMaster,,482,118,7.1,6.2,5.8
AD Carry,56.4,7.779999999999999,435.8,joyboy#adc,GrandMaster,,425,97,6.6,4.4,6.4
AD Carry,51.4,6.8,420.32,TyChee#1437,GrandMaster,,414,250,6.1,5.1,6.7
Support,72.4,0.9,303.44,Yu Jimin#CN1,Master,,130,64,1.6,5.2,16.0
Support,64.1,1.1,291.48,JT is back#s15,Challenger,,428,100,2.0,5.0,14.7
Top,61.1,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,863,116,6.2,4.9,6.8
AD Carry,52.6,8.239999999999998,489.92,Kojima#ゲツヨウビ,Challenger,,858,230,6.3,5.5,9.0
Jungler,58.0,7.1,480.2600000000001,Dizin#CBlol,GrandMaster,,410,87,8.9,3.4,7.9
Jungler,67.6,5.24,351.86,dont let me go#Veiga,GrandMaster,,525,94,5.7,5.2,12.4
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
Jungler,55.2,6.959999999999999,435.58,babyfaker01#BR2,GrandMaster,,389,132,7.2,6.0,6.9
AD Carry,56.9,8.059999999999999,468.96,Charlie Hunnam#77777,Challenger,,684,144,6.3,4.8,8.2
AD Carry,52.5,7.7,463.1,rhyy#123,Challenger,,677,252,6.8,5.4,6.6
Support,55.2,3.4200000000000004,334.84,Kisuni#BR1,Master,,99,69,2.0,5.2,15.7
Support,60.5,1.14,337.6,SOODANG#kr3,Challenger,,642,104,4.5,6.6,14.4
Top,52.8,6.56,389.14,Cylainius#NOXUS,GrandMaster,,415,160,4.7,4.6,5.6
Top,56.0,3.75,296.90000000000003,Paklaiton#NA1,Challenger,,640,131,3.8,5.0,8.7
Jungler,63.0,8.88,527.8199999999999,eDATERSgg#6969,Challenger,,773,137,8.9,5.6,8.2
Jungler,71.0,7.26,484.8,yukino cat#cat,Challenger,,858,66,9.2,4.6,9.2
Mid,52.8,7.760000000000001,443.5,young#0000,GrandMaster,,347,134,6.3,4.6,7.4
Jungler,56.0,6.180000000000001,434.7200000000001,UCI duong pro#NA1,Challenger,,815,181,7.2,6.2,8.6
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
AD Carry,51.7,4.46,381.3,a daydreamer#MK1,GrandMaster,,426,216,5.8,5.6,8.2
Support,60.5,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1207,144,3.0,5.3,13.4
Support,55.8,2.64,331.72,LightNReset#NA1,Challenger,,835,183,3.9,5.5,12.5
Top,56.0,7.7,459.82,Forlin#BR1,Challenger,,835,168,5.5,3.8,5.7
Top,66.9,6.2,391.34,Sacrógrito#Sufu,Challenger,,716,93,6.2,3.0,7.2
Jungler,67.6,5.24,351.86,dont let me go#Veiga,GrandMaster,,525,94,5.7,5.2,12.4
Jungler,66.7,6.62,435.34,Josedeodo2#BR1,Challenger,,1704,136,6.6,3.6,10.1
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
Mid,58.2,7.92,475.4599999999999,neyzz#999,Challenger,,810,135,6.8,5.3,6.9
Mid,58.3,7.040000000000001,464.5,Aithusa#lol,Challenger,,1595,229,8.3,5.7,8.1
AD Carry,52.6,8.239999999999998,489.92,Kojima#ゲツヨウビ,Challenger,,858,230,6.3,5.5,9.0
Support,57.5,3.5,421.7200000000001,Quantum#BR2,Challenger,,1109,175,2.8,5.2,17.6
Support,54.2,0.9,306.76000000000005,momochi#grind,Challenger,,1356,278,2.8,6.5,14.6
Top,61.1,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,844,116,6.2,4.9,6.8
Top,57.7,7.0600000000000005,461.58,Rick#373,GrandMaster,,538,101,7.7,5.3,6.3
Jungler,58.2,6.859999999999999,442.94,overthinker#ress,Challenger,,1133,149,7.4,4.9,7.9
Jungler,58.4,6.140000000000001,449.4,joaomitoHU32#BR1,Challenger,,599,118,5.8,5.1,11.9
Mid,55.7,7.3,465.2600000000001,HolyCheetosGamer#MACHO,GrandMaster,,450,127,6.1,5.7,7.1
,,,,sparck#gado,GrandMaster,,N/A,,,,
AD Carry,61.0,7.68,485.82,Laser#2404,GrandMaster,,384,64,7.6,5.8,8.2
AD Carry,54.8,8.32,483.98,spicy banana#2222,Challenger,,716,206,8.3,5.4,6.7
Support,55.3,1.06,317.52,rainha de copas#アリス,GrandMaster,,435,131,2.2,4.3,14.9
Support,53.2,1.4400000000000002,321.74,Freedon#BR1,Challenger,,646,149,4.3,6.3,11.1
Top,52.0,6.9,410.44,JOSEPHZEUSMODE#0001,GrandMaster,,405,207,5.3,4.7,4.5
Top,61.8,5.32,701.9599999999999,DU GYM RAT#GYM,Challenger,,1010,105,6.4,4.1,8.9
Mid,59.7,5.92,429.5,HITSUWHATWASTHAT#BR1,Challenger,,896,123,6.3,4.5,7.7
Jungler,53.5,6.220000000000001,448.56000000000006,paiN Tatu#10y,Challenger,,1454,328,8.5,5.7,9.1
Mid,54.5,8.18,453.86,Namiru#BR1,Challenger,,1309,268,6.1,4.1,6.7
Mid,57.3,7.140000000000001,457.78,VKS Cristal#Ahri,GrandMaster,,509,114,7.5,4.4,7.8
Mid,55.0,8.040000000000001,458.34,Grevthar#BRA1,Challenger,,1121,219,6.2,4.6,7.6
Mid,58.6,7.56,462.3200000000001,kazeeee#BR3,Challenger,,1097,147,8.3,6.0,7.8
Support,57.6,0.98,301.40000000000003,zay#zzz1,Challenger,,989,118,3.3,5.3,13.5
Support,57.4,1.7,317.12,scamber2#BR2,Challenger,,778,147,2.4,5.9,15.6
Top,69.7,7.780000000000001,465.8,I will trade#NA1,GrandMaster,,416,46,5.7,5.7,5.7
Top,59.2,5.159999999999999,412.75999999999993,Sillody#DEEZ,GrandMaster,,241,58,5.3,4.9,5.0
Jungler,58.1,7.3,475.1,不帮就送#0888,Challenger,,707,122,7.8,4.6,6.6
Top,53.4,7.7,444.78,mint maid#ghost,GrandMaster,,339,117,6.8,5.9,6.2
Mid,52.8,7.459999999999999,436.32,Quantum#NA1,GrandMaster,,364,196,7.0,5.0,6.3
Mid,58.1,7.766666666666667,442.4666666666667,DOOMSDAY#OGRE,GrandMaster,,210,115,5.6,5.0,7.3
AD Carry,56.6,8.3,467.34,Cody Sun#Aura,Challenger,,1276,193,6.4,4.0,7.0
AD Carry,59.4,8.04,475.3,Spawn#NA3,Challenger,,855,114,6.7,4.4,7.7
Support,57.0,0.98,309.96000000000004,Levi#NA111,GrandMaster,,285,147,2.9,5.9,12.2
Support,60.5,1.2,310.9,TL Honda CoreJJ#1123,Challenger,,1207,144,3.0,5.3,13.4
Mid,57.3,7.479999999999999,466.9599999999999,guigod#002,Challenger,,963,172,7.6,5.6,5.3
Top,61.1,7.44,443.62,CRIA DE IPANEMA#PIT,Challenger,,844,116,6.2,4.9,6.8
